Company name,Email,E-Mail-Typ,Phone,URL 1,Address,Stadt,Bundesland
ActivVita GmbH   Ambulante Pflege,flaig@activvita.de,Persönlich,06221 337522,http://www.activvita.de,"Hardtstr. 96/1, 69124 Heidelberg",Heidelberg,Baden-Württemberg
Acura Ambulanter Pflegedienst Marina Silberhorn,info@acura-Pflegedienst.de,Sammelpostfach,070418128787,https://acura-pflegedienst.de,"Industriestr. 115, 75417 Mühlacker",Mühlacker,Baden-Württemberg
ACURAS GmbH,,,02552 93920,,"Emsdettener Str. 6, 48565 Steinfurt",Steinfurt,Nordrhein-Westfalen
ACURA VITA GmbH Ambulanter Pflegedienst,,,,,"Langstr. 60, 63450 Hanau",Hanau,Hessen
Acvila Ambulanter Pflegedienst & Heimbeatmungsservice,info@acvila.de,Sammelpostfach,0821 24409393,http://www.acvila.de,"Bismarckstr. 27 , 86391 Stadtbergen",Stadtbergen,Bayern
aczepta Sozialdienst ambulante Dienste GmbH,,,0761 594370,,"Alte Bundesstr. 19, 79194 Gundelfingen",Gundelfingen,Baden-Württemberg
Ada Ambulanter Pflegedienst,info@ada-pflege.de,Sammelpostfach,0511 30077090,,"Günter-Wagner-Allee 33, 30177 Hannover",Hannover,Niedersachsen
Adagio Pflege GmbH,info@adagio-pflege.de,Sammelpostfach,02323 3689850,http://www.adagio-pflege.de,"Wörthstraße 15, 44629 Herne",Herne,Nordrhein-Westfalen
Adalbert Stifter Pflegedienst,hfo@heimwerk-gruppe.de,Persönlich,08638 8863470,,"Münchener Platz 13-17 , 84478 Waldkraiburg",Waldkraiburg,Bayern
Adamas GmbH,info@adamas-pflegedienst.de,Sammelpostfach,02302 4009160,http://www.adamas-pflegedienst.de,"Cörmannstr. 25, 58455 Witten",Witten,Nordrhein-Westfalen
AD Ambulante Dienste gGmbH - Pflegedienst und Hausnotruf,Info@AD-Kiel.de,Sammelpostfach,0431 7759980,http://www.ad-kiel.de,"Ringstraße 36-38, 24103 Kiel",Kiel,Schleswig-Holstein
Adam & Eva Ambulanter Pflegedienst,adameva@pflegedienst-zuhause.com,Persönlich,0511 35370982,,"Dohmeyers Weg 2, 30625 Hannover",Hannover,Niedersachsen
Ada Rheinmain Ambulanter Pflegedienst SGB XI,,,0611 5802999,,"Bahnhofstr. 41, 65185 Wiesbaden",Wiesbaden,Hessen
AD-Care Pflegedienst GmbH,adcarepflegedienst@gmail.com,Persönlich,0176 21120649,,"Westring 52, 44623 Herne",Herne,Nordrhein-Westfalen
Adea Care ambulanter Pflegedienst GmbH,,,069 80099595,,"Höhenstr. 32 a, 60385 Frankfurt",Frankfurt,Hessen
Adel GmbH,adel.gmbh@gmail.com,Persönlich,0211 16746080,,"Am Gatherhof 25, 40472 Düsseldorf",Düsseldorf,Nordrhein-Westfalen
Adelphi Pflegedienst,info@adelphi-pflegedienst.de,Sammelpostfach,04221 5884500,,"Hasporter Damm 89, 27749 Delmenhorst",Delmenhorst,Niedersachsen
Ademi Pflege GmbH,info@mak-pflegedienst.de,Sammelpostfach,02302 3987164,http://www.mak-pflegedienst.de,"Diakonissenstr. 22, 58455 Witten",Witten,Nordrhein-Westfalen
ADESSA GmbH Kinder- und Erwachsenen- intensivpflegedienst Amb. Intensivpflegedienst,,,06232 9808899,,"Bahnhofstr. 39, 67346 Speyer",Speyer,Rheinland-Pfalz
ADG Seniorenservice GmbH,info@adg-seniorenservice.de,Sammelpostfach,0351 88829644,,"Großenhainer Straße 137, 01129 Dresden",Dresden,Sachsen
AD HOMINEM XXIV Ambulanter Pflegedienst,,,0671 42071,,"Laurentiusstr. 3, 55545 Bad Kreuznach",Bad Kreuznach,Rheinland-Pfalz
A D I Pflegedienst GmbH,,,06142 2088042,,"Brunnenstr. 28, 65428 Rüsselsheim",Rüsselsheim,Hessen
Adiuto Pflege GmbH Zweigstelle Häusliche Krankenpflege I. Timmler,info@hktimmler.de,Sammelpostfach,040 7640020,,"Vinzenzweg 1, 21077 Hamburg",Hamburg,Hamburg
Adlatus - Intensivpflege,info@adlatus-pflege.de,Sammelpostfach,04222 947720,,"Adelheider Straße 15, 27777 Ganderkesee",Ganderkesee,Niedersachsen
Adler Pflegedienst GmbH & Co.KG,,,040 81994557,,"Bramfelder Straße 24, 22305 Hamburg",Hamburg,Hamburg
Admiral UG (haftungsbeschränkt),admiral-ug@web.de,Persönlich,08341 9557867,,"Moosmangstr. 15 , 87600 Kaufbeuren",Kaufbeuren,Bayern
Adona UG (haftungsbeschränkt),info@pflege-adona.de,Sammelpostfach,030 51892941,,"Sickingenstr. 56a, 10553 Berlin",Berlin,Berlin
ADP Pflegedienst GmbH,info@pflegedienst-adp.de,Sammelpostfach,089 37959560,http://www.pflegedienst-adp.de,"Soyerhofstrasse 26 , 81547 München",München,Bayern
AdR Ambulante Pflege de Regt,info@adr-pflege.de,Sammelpostfach,04489 4049080,http://brigittederegt@ewetel.net.,"Uplengener Straße 86, 26689 Apen",Apen,Niedersachsen
Advent-Wohlfahrtswerk ambulante Dienste Friedensau,chris.baum@diefriedensauer.de,Persönlich,03921 6353440,,"Gorkistr. 26f, 39288 Burg",Burg,Sachsen-Anhalt
Advertus GmbH & Co. KG Ambulanter Pflegedienst,info@advertus-online.de,Sammelpostfach,0421 3300570,,"Ludwig-Sütterlin-Straße 3, 28355 Bremen",Bremen,Bremen
adviCura GmbH,info@advicura-pflege.de,Sammelpostfach,030 60033150,,"Am Rosengarten 48, 15566 Schöneiche",Schöneiche,Brandenburg
Advie Pflegepartner,pflegepartner@advie.de,Persönlich,05363 99155,http://www.advie.de,"Wendenstraße 69, 38448 Wolfsburg",Wolfsburg,Niedersachsen
ADVITALIS Pflegedienst,info@advitalis-pflegedienst.de,Sammelpostfach,02501 9643780,http://www.advitalis-pflegedienst.de,"Hanses-Ketteler-Str. 2, 48165 Münster",Münster,Nordrhein-Westfalen
Ad vitam GmbH,,,02363 7388950,,"In den Hofwiesen 28, 45711 Datteln",Datteln,Nordrhein-Westfalen
advita Pflegedienst GmbH,heinsberg@advita.de,Persönlich,02452 1063966,,"Apfelstr. 48, 52525 Heinsberg",Heinsberg,Nordrhein-Westfalen
Advita Pflegedienst GmbH -Ambulanter Pflegedienst,berlin-treptow@advita.de,Persönlich,030 53695186,http://www.advita.de,"Landsberger Allee 32, 10249 Berlin",Berlin,Berlin
advita Pflegedienst GmbH - Niederlassung Annaberg-Buchholz,annaberg-buchholz@advita.de,Persönlich,03733 6738977,,"Herzog-Georg-Ring 32, 09456 Annaberg-Buchholz",Annaberg-Buchholz,Sachsen
advita Pflegedienst GmbH  Niederlassung Apolda,vertragsmanagement@advita.de,Persönlich,03644 5197397,,"Bahnhofstraße 46, 99510 Apolda",Apolda,Thüringen
advita Pflegedienst GmbH Niederlassung Bad Kreuznach Pflegedienst,,,,,"Brückes 41, 55545 Bad Kreuznach",Bad Kreuznach,Rheinland-Pfalz
advita Pflegedienst GmbH Niederlassung Bad Mergentheim SGB XI,,,,,"Wachbacher Str. 4, 97980 Bad Mergentheim",Bad Mergentheim,Bayern
advita Pflegedienst GmbH Niederlassung Bad Windsheim,badwindsheim@advita.de,Persönlich,09841 6827183,,"Berliner Str. 49 , 91438 Bad Windsheim",Bad Windsheim,Bayern
advita Pflegedienst GmbH Niederlassung Bamberg,vt-qm@advita.de,Persönlich,0951 50986840,http://www.advita.de,"Minna-Neuburger-Str. 1 , 96050 Bamberg",Bamberg,Bayern
advita Pflegedienst GmbH  Niederlassung Bautzen,bautzen@advita.de,Persönlich,03591 3518019,,"Burglehn 4, 02625 Bautzen",Bautzen,Sachsen
advita Pflegedienst GmbH  Niederlassung Borna,borna@advita.de,Persönlich,03433 208404,,"Brauhausstraße 1, 04552 Borna",Borna,Thüringen
advita Pflegedienst GmbH  Niederlassung Chemnitz,chemnitz@advita.de,Persönlich,0371 2361603,,"Reichsstraße 11, 09112 Chemnitz",Chemnitz,Sachsen
advita Pflegedienst GmbH  Niederlassung Dresden,dresden@advita.de,Persönlich,0351 2517458,,"Fröbelstraße 51 e, 01159 Dresden",Dresden,Sachsen
advita Pflegedienst GmbH Niederlassung Ehrenfriedersdorf,ehrenfriedersdorf@advita.de,Persönlich,037341 490615,,"Annaberger Straße 30, 09427 Ehrenfriedersdorf",Ehrenfriedersdorf,Sachsen
advita Pflegedienst GmbH  Niederlassung Eisenach,eisenach@advita.de,Persönlich,03691 8867056,,"Markt 16, 99817 Eisenach",Eisenach,Thüringen
advita Pflegedienst GmbH  Niederlassung Erfurt,erfurt@advita.de,Persönlich,0361 65341887,,"Mainzer Straße 22, 99089 Erfurt",Erfurt,Thüringen
advita Pflegedienst GmbH  Niederlassung Flöha,floeha@advita.de,Persönlich,03726 7929666,,"Kohlenstraße 1 a, 09557 Flöha",Flöha,Sachsen
advita Pflegedienst GmbH Niederlassung Freiburg  Amb. Pflege,,,,,"Auwaldstr. 90, 79110 Freiburg",Freiburg,Baden-Württemberg
advita Pflegedienst GmbH  Niederlassung Freital,freital@advita.de,Persönlich,0351 6489670,,"Dresdner Straße 187, 01705 Freital",Freital,Sachsen
advita Pflegedienst GmbH  Niederlassung Görlitz,goerlitz@advita.de,Persönlich,03581 8799895,,"Bahnhofstraße 75, 02826 Görlitz",Görlitz,Sachsen
advita Pflegedienst GmbH Niederlassung Gotha,gotha@advita.de,Persönlich,03621 2236220,,"Ekhofplatz 1, 99867 Gotha",Gotha,Thüringen
advita Pflegedienst GmbH  Niederlassung Großenhain,grossenhain@advita.de,Persönlich,03522 62198,,"Frauenmarkt 27, 01558 Großenhain",Großenhain,Sachsen
advita Pflegedienst GmbH Niederlassung Halberstadt,halberstadt@advita.de,Persönlich,03941 6212596,,"Richard-Wagner-Str. 32, 38820 Halberstadt",Halberstadt,Sachsen-Anhalt
"advita Pflegedienst GmbH
Niederlassung Halle",,,,,"Rudolf-Haym-Str. 25 b - d, 06110 Halle",Halle,Sachsen-Anhalt
advita Pflegedienst GmbH  Niederlassung Hohenstein-Ernstthal,hohenstein@advita.de,Persönlich,03723 47074,,"Lungwitzer Straße 45, 09337 Hohenstein-Ernstthal",Hohenstein-Ernstthal,Sachsen
advita Pflegedienst GmbH  Niederlassung Kesselsdorf/Wilsdruff,wilsdruff@advita.de,Persönlich,035204 48229,,"Am Markt 9, 01723 Wilsdruff",Wilsdruff,Sachsen
"advita Pflegedienst GmbH 
Niederlassung Köthen",koethen@advita.de,Persönlich,03496 3033575,,"Lindenstr. 13, 06366 Köthen",Köthen,Sachsen-Anhalt
advita Pflegedienst GmbH Niederlassung Kreischa,kreischa@advita.de,Persönlich,,,"Am Mühlgraben 8-10, 01731 Kreischa",Kreischa,Sachsen
advita Pflegedienst GmbH  Niederlassung Leipzig,leipzig@advita.de,Persönlich,0341 3029825,,"Schönbachstraße 68 b, 04299 Leipzig",Leipzig,Sachsen
advita Pflegedienst GmbH  Niederlassung Lichtenstein,lichtenstein@advita.de,Persönlich,037204 507947,,"Innere Zwickauer Straße 6, 09350 Lichtenstein",Lichtenstein,Sachsen
advita Pflegedienst GmbH  Niederlassung Lohr am Main,lohr@advita.de,Persönlich,09352 6020803,,"Alfred-Stumpf-Str. 4 , 97816 Lohr am Main",Lohr am Main,Bayern
"advita Pflegedienst GmbH
Niederlassung Magdeburg",magdeburg@advita.de,Persönlich,0391 81069640,,"Hansapark 5, 39116 Magdeburg",Magdeburg,Sachsen-Anhalt
advita Pflegedienst GmbH  Niederlassung Meißen,meissen@advita.de,Persönlich,03521 4767248,,"Neumarkt 51, 01662 Meißen",Meißen,Sachsen
advita Pflegedienst GmbH Niederlassung Mühlhausen,muehlhausen@advita.de,Persönlich,03601 8885009,,"Karl-Marx-Straße 9, 99974 Mühlhausen/Thüringen",Mühlhausen/Thüringen,Thüringen
advita Pflegedienst GmbH  Niederlassung Neschwitz,neschwitz@advita.de,Persönlich,035933 391682,,"Neues Schloss 4, 02699 Neschwitz",Neschwitz,Sachsen
advita Pflegedienst GmbH Niederlassung Neustadt an der Weinstraße Pflegedienst SGB XI,,,,,"Speyerdorferstr. 6, 67433 Neustadt",Neustadt,Rheinland-Pfalz
advita Pflegedienst GmbH  Niederlassung Radeberg,radeberg@advita.de,Persönlich,03528 4632817,,"Güterbahnhofstraße 7-9, 01454 Radeberg",Radeberg,Sachsen
advita Pflegedienst GmbH  Niederlassung Riesa,riesa@advita.de,Persönlich,03525 7040120,,"Kirchstraße 46, 01591 Riesa",Riesa,Sachsen
advita Pflegedienst GmbH Niederlassung Salzgitter,salzgitter@advita.de,Persönlich,05341 9022941,,"Albert-Schweitzer-Straße 70, 38226 Salzgitter",Salzgitter,Niedersachsen
